geo_code1,origin_bicycle,origin_all,origin_ratio,destination_bicycle,destination_all,destination_ratio
E02000001,222,3657,6.07%,12964,244502,5.30%
E02000002,26,1720,1.51%,7,516,1.36%
E02000003,34,3349,1.02%,48,2222,2.16%
E02000004,35,2074,1.69%,19,862,2.20%
E02000005,55,2616,2.10%,18,714,2.52%
E02000007,41,2467,1.66%,50,2509,1.99%
E02000008,57,3310,1.72%,49,1308,3.75%
E02000009,49,2473,1.98%,10,407,2.46%
E02000010,34,2489,1.37%,12,743,1.62%
E02000011,37,1965,1.88%,59,1687,3.50%
E02000012,48,3081,1.56%,22,834,2.64%
E02000013,49,2416,2.03%,10,576,1.74%
E02000014,45,2748,1.64%,17,954,1.78%
E02000015,66,2079,3.17%,9,701,1.28%
E02000016,23,2341,0.98%,83,5064,1.64%
E02000017,32,2617,1.22%,21,752,2.79%
E02000018,48,2469,1.94%,9,418,2.15%
E02000019,57,2504,2.28%,97,2633,3.68%
E02000020,57,2613,2.18%,110,3262,3.37%
E02000021,42,2379,1.77%,68,3110,2.19%
E02000022,37,2076,1.78%,22,1389,1.58%
E02000023,53,1705,3.11%,60,1635,3.67%
E02000024,70,3279,2.13%,36,3221,1.12%
E02000025,42,2676,1.57%,8,737,1.09%
E02000026,19,2040,0.93%,11,388,2.84%
E02000027,28,2751,1.02%,20,2370,0.84%
E02000028,25,2116,1.18%,17,1091,1.56%
E02000029,37,2899,1.28%,5,1340,0.37%
E02000030,25,2591,0.96%,30,1108,2.71%
E02000031,36,2412,1.49%,34,2553,1.33%
E02000032,27,2726,0.99%,19,550,3.45%
E02000033,34,2891,1.18%,45,2439,1.85%
E02000034,52,2952,1.76%,12,897,1.34%
E02000035,46,2824,1.63%,16,1346,1.19%
E02000036,28,3233,0.87%,6,711,0.84%
E02000037,29,2851,1.02%,10,774,1.29%
E02000038,73,3736,1.95%,24,1391,1.73%
E02000039,30,2139,1.40%,17,1539,1.10%
E02000040,30,2162,1.39%,83,2770,3.00%
E02000041,16,2707,0.59%,33,2866,1.15%
E02000042,77,3922,1.96%,50,3297,1.52%
E02000043,44,2644,1.66%,7,261,2.68%
E02000044,26,2461,1.06%,13,719,1.81%
E02000045,115,3700,3.11%,11,1190,0.92%
E02000046,50,2822,1.77%,41,1895,2.16%
E02000047,29,3344,0.87%,15,1810,0.83%
E02000048,38,3291,1.15%,22,939,2.34%
E02000049,16,2313,0.69%,30,1354,2.22%
E02000050,92,3661,2.51%,46,1605,2.87%
E02000051,52,2905,1.79%,83,3216,2.58%
E02000052,163,3979,4.10%,48,1687,2.85%
E02000053,39,2889,1.35%,80,3426,2.34%
E02000054,35,2416,1.45%,39,1176,3.32%
E02000055,56,3626,1.54%,48,3773,1.27%
E02000056,89,3033,2.93%,40,1312,3.05%
E02000057,42,2299,1.83%,16,1040,1.54%
E02000058,104,3426,3.04%,40,2047,1.95%
E02000059,53,3541,1.50%,46,2283,2.01%
E02000060,57,3122,1.83%,15,1455,1.03%
E02000061,80,2908,2.75%,44,2279,1.93%
E02000062,56,2093,2.68%,54,6034,0.89%
E02000063,57,2264,2.52%,11,487,2.26%
E02000064,72,2018,3.57%,14,664,2.11%
E02000065,29,2295,1.26%,26,1602,1.62%
E02000066,40,2909,1.38%,6,567,1.06%
E02000067,40,2917,1.37%,33,1779,1.85%
E02000068,28,2291,1.22%,51,3035,1.68%
E02000069,34,1921,1.77%,10,606,1.65%
E02000070,43,2687,1.60%,6,266,2.26%
E02000071,39,2463,1.58%,20,1141,1.75%
E02000072,46,3236,1.42%,58,1560,3.72%
E02000073,54,3711,1.46%,7,535,1.31%
E02000074,32,2279,1.40%,8,618,1.29%
E02000075,38,2710,1.40%,5,524,0.95%
E02000077,38,2815,1.35%,13,597,2.18%
E02000078,28,2811,1.00%,2,395,0.51%
E02000079,39,2741,1.42%,93,5892,1.58%
E02000080,33,3283,1.01%,24,2058,1.17%
E02000081,33,2376,1.39%,57,1207,4.72%
E02000082,47,3288,1.43%,9,889,1.01%
E02000083,29,2883,1.01%,45,2878,1.56%
E02000084,57,3741,1.52%,7,811,0.86%
E02000085,38,2766,1.37%,9,775,1.16%
E02000086,40,2763,1.45%,19,682,2.79%
E02000087,30,2457,1.22%,21,1002,2.10%
E02000088,49,2790,1.76%,1,339,0.29%
E02000089,59,2738,2.15%,10,397,2.52%
E02000090,50,3087,1.62%,100,4196,2.38%
E02000091,56,3151,1.78%,31,2255,1.37%
E02000092,29,1968,1.47%,27,2367,1.14%
E02000093,20,3553,0.56%,16,1956,0.82%
E02000094,32,2745,1.17%,26,2171,1.20%
E02000095,20,3180,0.63%,35,1671,2.09%
E02000096,24,2579,0.93%,7,936,0.75%
E02000097,28,2835,0.99%,11,875,1.26%
E02000098,16,2517,0.64%,9,822,1.09%
E02000099,41,2787,1.47%,26,1542,1.69%
E02000100,37,3118,1.19%,115,4798,2.40%
E02000101,23,2813,0.82%,21,1994,1.05%
E02000102,28,2169,1.29%,7,761,0.92%
E02000103,51,2533,2.01%,67,3389,1.98%
E02000104,26,2218,1.17%,8,984,0.81%
E02000105,35,3174,1.10%,13,970,1.34%
E02000106,85,3043,2.79%,33,2169,1.52%
E02000107,146,4079,3.58%,18,1163,1.55%
E02000108,24,2220,1.08%,3,136,2.21%
E02000109,49,3500,1.40%,76,6348,1.20%
E02000110,140,3184,4.40%,11,351,3.13%
E02000111,47,3521,1.33%,24,1962,1.22%
E02000112,55,3508,1.57%,52,3630,1.43%
E02000113,52,2607,1.99%,48,2567,1.87%
E02000114,162,3673,4.41%,18,1051,1.71%
E02000115,194,3540,5.48%,13,412,3.16%
E02000116,81,2661,3.04%,64,1956,3.27%
E02000117,125,3367,3.71%,41,1603,2.56%
E02000118,63,3315,1.90%,32,2068,1.55%
E02000119,42,1911,2.20%,365,9680,3.77%
E02000120,317,4058,7.81%,60,1412,4.25%
E02000121,50,3317,1.51%,90,3769,2.39%
E02000122,215,2926,7.35%,35,865,4.05%
E02000123,217,4605,4.71%,33,2220,1.49%
E02000124,388,4270,9.09%,167,2740,6.09%
E02000125,298,4172,7.14%,29,410,7.07%
E02000126,122,2472,4.94%,22,995,2.21%
E02000127,37,2768,1.34%,14,673,2.08%
E02000128,46,2688,1.71%,9,1013,0.89%
E02000130,119,3198,3.72%,53,2274,2.33%
E02000131,160,3790,4.22%,24,958,2.51%
E02000132,85,3880,2.19%,45,3011,1.49%
E02000133,40,3377,1.18%,22,1358,1.62%
E02000134,98,4483,2.19%,112,4605,2.43%
E02000135,61,3216,1.90%,18,1407,1.28%
E02000136,22,1641,1.34%,9,1052,0.86%
E02000137,69,3111,2.22%,7,546,1.28%
E02000138,59,3269,1.80%,27,1278,2.11%
E02000139,74,3169,2.34%,23,1084,2.12%
E02000140,27,2322,1.16%,23,1543,1.49%
E02000141,62,2846,2.18%,16,731,2.19%
E02000142,48,3058,1.57%,36,2789,1.29%
E02000144,74,3550,2.08%,182,11341,1.60%
E02000145,40,2316,1.73%,33,2006,1.65%
E02000146,65,3237,2.01%,31,1860,1.67%
E02000147,37,2745,1.35%,8,404,1.98%
E02000148,23,2230,1.03%,14,1170,1.20%
E02000149,31,2553,1.21%,28,1763,1.59%
E02000150,69,3088,2.23%,71,2023,3.51%
E02000151,27,2665,1.01%,4,480,0.83%
E02000152,34,2109,1.61%,25,1111,2.25%
E02000153,50,2800,1.79%,5,345,1.45%
E02000154,34,2851,1.19%,74,3701,2.00%
E02000155,18,2271,0.79%,10,415,2.41%
E02000156,61,4296,1.42%,29,2339,1.24%
E02000157,41,2682,1.53%,7,651,1.08%
E02000158,33,2188,1.51%,5,437,1.14%
E02000159,32,2148,1.49%,30,1957,1.53%
E02000160,51,2682,1.90%,23,1679,1.37%
E02000161,33,2978,1.11%,9,609,1.48%
E02000162,27,2149,1.26%,41,3402,1.21%
E02000163,25,2486,1.01%,15,1538,0.98%
E02000165,14,2334,0.60%,5,466,1.07%
E02000166,361,2821,12.80%,109,1888,5.77%
E02000167,177,2956,5.99%,81,2404,3.37%
E02000168,469,3264,14.37%,263,3747,7.02%
E02000169,110,2510,4.38%,47,1042,4.51%
E02000170,227,3804,5.97%,44,1131,3.89%
E02000171,317,3112,10.19%,69,1206,5.72%
E02000172,343,3237,10.60%,233,3471,6.71%
E02000173,133,3249,4.09%,349,8777,3.98%
E02000174,403,3523,11.44%,187,1894,9.87%
E02000175,206,4300,4.79%,65,2595,2.50%
E02000176,159,2942,5.40%,61,1092,5.59%
E02000177,263,3202,8.21%,164,1490,11.01%
E02000178,185,3844,4.81%,52,1222,4.26%
E02000179,146,2265,6.45%,27,740,3.65%
E02000180,393,3010,13.06%,112,1276,8.78%
E02000181,202,3787,5.33%,13,426,3.05%
E02000182,87,2309,3.77%,81,2459,3.29%
E02000183,346,3022,11.45%,369,5156,7.16%
E02000184,227,2991,7.59%,481,7110,6.77%
E02000185,145,2894,5.01%,54,1682,3.21%
E02000186,218,2688,8.11%,915,18220,5.02%
E02000187,122,2321,5.26%,233,5678,4.10%
E02000188,131,2342,5.59%,246,4954,4.97%
E02000189,145,1659,8.74%,280,4042,6.93%
E02000190,158,2078,7.60%,515,7671,6.71%
E02000191,133,2315,5.75%,2607,31929,8.16%
E02000192,184,2704,6.80%,1806,22958,7.87%
E02000193,119,3075,3.87%,3619,52778,6.86%
E02000194,147,3414,4.31%,48,1756,2.73%
E02000195,97,3353,2.89%,20,729,2.74%
E02000196,33,2485,1.33%,37,986,3.75%
E02000197,66,3049,2.16%,15,862,1.74%
E02000198,48,2752,1.74%,23,962,2.39%
E02000199,55,2978,1.85%,7,460,1.52%
E02000200,69,3052,2.26%,19,1152,1.65%
E02000201,31,2826,1.10%,19,1071,1.77%
E02000202,48,3014,1.59%,3,631,0.48%
E02000203,27,2599,1.04%,43,1982,2.17%
E02000204,45,3147,1.43%,16,1099,1.46%
E02000206,54,3093,1.75%,57,2605,2.19%
E02000207,50,3011,1.66%,15,1060,1.42%
E02000208,58,3117,1.86%,77,3723,2.07%
E02000209,36,2859,1.26%,29,1476,1.96%
E02000210,52,3250,1.60%,11,586,1.88%
E02000211,42,3020,1.39%,6,508,1.18%
E02000212,41,2840,1.44%,45,2776,1.62%
E02000213,37,3110,1.19%,83,5383,1.54%
E02000214,25,2296,1.09%,6,668,0.90%
E02000215,69,4198,1.64%,19,2129,0.89%
E02000216,19,2435,0.78%,8,598,1.34%
E02000217,72,3607,2.00%,111,6002,1.85%
E02000218,26,2076,1.25%,6,463,1.30%
E02000219,33,2701,1.22%,19,1114,1.71%
E02000220,55,4069,1.35%,227,12589,1.80%
E02000221,42,3141,1.34%,72,3766,1.91%
E02000222,58,3137,1.85%,27,1681,1.61%
E02000223,10,2119,0.47%,2,343,0.58%
E02000224,41,2962,1.38%,34,1739,1.96%
E02000225,7,2342,0.30%,8,847,0.94%
E02000226,20,2559,0.78%,11,1134,0.97%
E02000227,25,4129,0.61%,12,963,1.25%
E02000228,21,2423,0.87%,2,654,0.31%
E02000229,9,1721,0.52%,7,1113,0.63%
E02000230,43,3369,1.28%,45,2544,1.77%
E02000231,24,2318,1.04%,16,961,1.66%
E02000232,20,1738,1.15%,1,519,0.19%
E02000233,32,1915,1.67%,3,637,0.47%
E02000234,31,2508,1.24%,20,1654,1.21%
E02000235,28,2089,1.34%,12,707,1.70%
E02000236,28,2271,1.23%,10,525,1.90%
E02000237,21,1895,1.11%,13,674,1.93%
E02000238,52,3329,1.56%,32,1961,1.63%
E02000239,47,3323,1.41%,8,608,1.32%
E02000240,34,3167,1.07%,16,653,2.45%
E02000241,35,2397,1.46%,41,1149,3.57%
E02000242,69,2305,2.99%,38,1647,2.31%
E02000243,46,2905,1.58%,114,4037,2.82%
E02000244,91,2547,3.57%,80,2631,3.04%
E02000245,45,2495,1.80%,14,547,2.56%
E02000246,27,2566,1.05%,2,468,0.43%
E02000247,66,3284,2.01%,17,989,1.72%
E02000248,76,2684,2.83%,120,4298,2.79%
E02000249,61,2560,2.38%,61,2045,2.98%
E02000250,100,2320,4.31%,9,533,1.69%
E02000251,29,2777,1.04%,13,295,4.41%
E02000252,155,3615,4.29%,498,13834,3.60%
E02000253,92,2888,3.19%,15,456,3.29%
E02000254,40,3126,1.28%,18,584,3.08%
E02000255,120,3178,3.78%,28,856,3.27%
E02000256,139,3434,4.05%,167,4572,3.65%
E02000257,176,5464,3.22%,144,5671,2.54%
E02000258,161,2350,6.85%,9,322,2.80%
E02000259,106,2379,4.46%,22,684,3.22%
E02000260,39,2831,1.38%,41,2483,1.65%
E02000261,274,3885,7.05%,59,1127,5.24%
E02000262,244,3368,7.24%,83,2215,3.75%
E02000263,37,3593,1.03%,39,1404,2.78%
E02000264,157,3172,4.95%,45,1352,3.33%
E02000265,236,4320,5.46%,53,2280,2.32%
E02000266,64,3384,1.89%,213,7461,2.85%
E02000267,144,2719,5.30%,55,1280,4.30%
E02000268,178,3583,4.97%,103,1841,5.59%
E02000269,212,3420,6.20%,70,2104,3.33%
E02000270,126,2512,5.02%,121,2705,4.47%
E02000271,209,2721,7.68%,154,2255,6.83%
E02000272,126,2682,4.70%,50,1138,4.39%
E02000274,45,3771,1.19%,58,2281,2.54%
E02000275,45,2215,2.03%,13,972,1.34%
E02000276,181,2819,6.42%,29,834,3.48%
E02000277,34,2107,1.61%,11,427,2.58%
E02000278,46,2187,2.10%,4,550,0.73%
E02000279,56,3233,1.73%,40,1829,2.19%
E02000280,62,2805,2.21%,29,1562,1.86%
E02000281,67,2776,2.41%,23,1208,1.90%
E02000282,38,2317,1.64%,21,977,2.15%
E02000283,51,2457,2.08%,27,740,3.65%
E02000284,58,2995,1.94%,33,2160,1.53%
E02000285,40,2328,1.72%,55,2307,2.38%
E02000286,44,3091,1.42%,60,4003,1.50%
E02000287,14,1961,0.71%,37,1729,2.14%
E02000288,56,3062,1.83%,93,4460,2.09%
E02000289,16,2169,0.74%,2,472,0.42%
E02000290,33,1925,1.71%,159,4111,3.87%
E02000291,70,3025,2.31%,76,3213,2.37%
E02000292,66,3304,2.00%,47,2010,2.34%
E02000293,31,2126,1.46%,5,369,1.36%
E02000294,28,2624,1.07%,19,804,2.36%
E02000295,23,2816,0.82%,21,908,2.31%
E02000296,32,3274,0.98%,74,4344,1.70%
E02000297,62,3357,1.85%,18,955,1.88%
E02000298,52,2949,1.76%,17,1073,1.58%
E02000299,38,2676,1.42%,14,1096,1.28%
E02000300,31,2501,1.24%,23,596,3.86%
E02000301,35,2783,1.26%,26,1112,2.34%
E02000302,31,2818,1.10%,21,884,2.38%
E02000303,28,2175,1.29%,35,1297,2.70%
E02000304,53,2875,1.84%,7,525,1.33%
E02000305,77,3376,2.28%,21,1602,1.31%
E02000306,31,2345,1.32%,89,3415,2.61%
E02000307,32,3089,1.04%,15,502,2.99%
E02000308,51,2634,1.94%,34,1354,2.51%
E02000309,46,2992,1.54%,66,2819,2.34%
E02000311,48,3405,1.41%,12,1150,1.04%
E02000312,111,4149,2.68%,23,1286,1.79%
E02000313,24,2029,1.18%,1,249,0.40%
E02000314,50,3968,1.26%,75,3864,1.94%
E02000315,27,2547,1.06%,9,789,1.14%
E02000316,80,4323,1.85%,199,8603,2.31%
E02000317,39,2262,1.72%,7,641,1.09%
E02000318,30,3104,0.97%,33,1443,2.29%
E02000319,59,3721,1.59%,24,1460,1.64%
E02000320,30,2200,1.36%,4,588,0.68%
E02000321,33,2243,1.47%,15,800,1.88%
E02000323,63,3181,1.98%,24,1625,1.48%
E02000324,50,2356,2.12%,11,1052,1.05%
E02000326,140,2779,5.04%,14,432,3.24%
E02000327,86,2017,4.26%,144,4640,3.10%
E02000328,140,2705,5.18%,17,686,2.48%
E02000329,41,2154,1.90%,3,446,0.67%
E02000331,89,2783,3.20%,17,569,2.99%
E02000332,84,2584,3.25%,24,938,2.56%
E02000333,168,2732,6.15%,29,1211,2.39%
E02000334,71,2208,3.22%,17,440,3.86%
E02000335,71,2510,2.83%,4,250,1.60%
E02000337,48,2630,1.83%,19,533,3.56%
E02000339,47,2131,2.21%,30,1819,1.65%
E02000340,44,2221,1.98%,46,2471,1.86%
E02000341,43,2301,1.87%,20,696,2.87%
E02000342,32,1883,1.70%,26,945,2.75%
E02000343,27,2159,1.25%,9,400,2.25%
E02000344,37,2329,1.59%,22,971,2.27%
E02000345,152,2293,6.63%,76,2407,3.16%
E02000346,104,1763,5.90%,46,718,6.41%
E02000347,265,2260,11.73%,37,1204,3.07%
E02000348,170,2135,7.96%,37,808,4.58%
E02000350,717,3815,18.79%,59,985,5.99%
E02000351,539,4140,13.02%,44,471,9.34%
E02000352,504,2529,19.93%,72,600,12.00%
E02000353,784,3491,22.46%,141,1614,8.74%
E02000354,640,3310,19.34%,69,1191,5.79%
E02000355,663,3182,20.84%,55,857,6.42%
E02000356,756,3318,22.78%,107,869,12.31%
E02000357,105,1618,6.49%,43,488,8.81%
E02000358,848,4528,18.73%,165,1731,9.53%
E02000359,509,2345,21.71%,43,454,9.47%
E02000360,614,3964,15.49%,106,1077,9.84%
E02000361,638,3192,19.99%,356,5010,7.11%
E02000362,364,2176,16.73%,122,1728,7.06%
E02000363,330,3127,10.55%,265,3734,7.10%
E02000364,941,3727,25.25%,108,1675,6.45%
E02000365,1112,5756,19.32%,311,3190,9.75%
E02000366,506,2933,17.25%,70,649,10.79%
E02000367,887,4215,21.04%,447,3244,13.78%
E02000368,564,3332,16.93%,79,652,12.12%
E02000369,559,4490,12.45%,327,2851,11.47%
E02000370,352,3158,11.15%,380,2724,13.95%
E02000371,604,5484,11.01%,2674,25753,10.38%
E02000372,174,3253,5.35%,1118,13770,8.12%
E02000373,86,1957,4.39%,36,705,5.11%
E02000374,237,2570,9.22%,17,289,5.88%
E02000375,227,2928,7.75%,656,11533,5.69%
E02000376,313,3173,9.86%,98,2284,4.29%
E02000377,329,3414,9.64%,70,1010,6.93%
E02000378,239,3099,7.71%,136,2134,6.37%
E02000379,323,3026,10.67%,47,650,7.23%
E02000380,268,2494,10.75%,144,1131,12.73%
E02000381,330,3409,9.68%,243,2926,8.30%
E02000382,215,2466,8.72%,276,2807,9.83%
E02000383,258,4082,6.32%,390,5343,7.30%
E02000384,202,2907,6.95%,984,16886,5.83%
E02000385,254,3367,7.54%,62,905,6.85%
E02000386,179,3196,5.60%,100,2752,3.63%
E02000387,233,2699,8.63%,304,4109,7.40%
E02000388,350,3864,9.06%,180,2444,7.36%
E02000389,393,3530,11.13%,324,2417,13.41%
E02000390,314,2886,10.88%,119,1244,9.57%
E02000391,239,3197,7.48%,217,3194,6.79%
E02000392,343,4356,7.87%,262,3198,8.19%
E02000393,267,2976,8.97%,44,523,8.41%
E02000394,273,3156,8.65%,262,3373,7.77%
E02000395,230,2609,8.82%,213,2842,7.49%
E02000396,245,2672,9.17%,175,2081,8.41%
E02000397,91,2874,3.17%,16,676,2.37%
E02000398,42,1772,2.37%,79,2109,3.75%
E02000400,89,2699,3.30%,25,1203,2.08%
E02000401,51,1781,2.86%,14,504,2.78%
E02000402,44,1794,2.45%,13,549,2.37%
E02000403,86,2763,3.11%,126,4148,3.04%
E02000404,48,2328,2.06%,13,713,1.82%
E02000405,149,2527,5.90%,31,696,4.45%
E02000406,92,2417,3.81%,10,329,3.04%
E02000407,84,2027,4.14%,31,1135,2.73%
E02000408,63,2015,3.13%,28,1186,2.36%
E02000409,84,1944,4.32%,26,940,2.77%
E02000410,153,2745,5.57%,21,1007,2.09%
E02000411,54,2246,2.40%,63,2207,2.85%
E02000412,92,2380,3.87%,123,4622,2.66%
E02000413,181,2671,6.78%,27,732,3.69%
E02000414,167,2404,6.95%,14,429,3.26%
E02000415,143,2557,5.59%,38,914,4.16%
E02000416,231,2975,7.76%,38,1102,3.45%
E02000417,212,2790,7.60%,53,1700,3.12%
E02000418,185,2205,8.39%,27,552,4.89%
E02000419,229,3344,6.85%,23,1349,1.70%
E02000420,122,2413,5.06%,9,713,1.26%
E02000421,95,2227,4.27%,89,2710,3.28%
E02000422,148,2440,6.07%,24,770,3.12%
E02000423,230,2761,8.33%,49,1815,2.70%
E02000424,287,3071,9.35%,31,899,3.45%
E02000425,76,1878,4.05%,33,657,5.02%
E02000426,146,2613,5.59%,57,1591,3.58%
E02000427,271,3063,8.85%,25,792,3.16%
E02000428,161,2206,7.30%,33,1305,2.53%
E02000429,253,2989,8.46%,41,653,6.28%
E02000430,329,3508,9.38%,62,1859,3.34%
E02000431,252,3236,7.79%,30,806,3.72%
E02000432,332,3017,11.00%,23,429,5.36%
E02000433,11,2152,0.51%,24,2244,1.07%
E02000434,17,2642,0.64%,19,1369,1.39%
E02000435,26,2064,1.26%,4,606,0.66%
E02000436,7,1753,0.40%,6,473,1.27%
E02000437,18,2584,0.70%,5,944,0.53%
E02000438,20,2318,0.86%,27,1480,1.82%
E02000439,14,2495,0.56%,15,1239,1.21%
E02000440,18,3125,0.58%,7,606,1.16%
E02000441,21,2030,1.03%,4,483,0.83%
E02000442,16,2707,0.59%,5,768,0.65%
E02000443,35,2943,1.19%,15,1453,1.03%
E02000444,17,2720,0.63%,17,553,3.07%
E02000445,61,3279,1.86%,34,2067,1.64%
E02000447,40,2397,1.67%,10,496,2.02%
E02000448,29,2111,1.37%,37,1874,1.97%
E02000449,5,2594,0.19%,5,433,1.15%
E02000451,23,2204,1.04%,6,556,1.08%
E02000452,48,3106,1.55%,75,3994,1.88%
E02000453,48,2700,1.78%,12,1012,1.19%
E02000454,29,2325,1.25%,7,401,1.75%
E02000455,19,3035,0.63%,65,6280,1.04%
E02000456,34,2598,1.31%,7,372,1.88%
E02000457,31,2076,1.49%,36,1832,1.97%
E02000459,28,2810,1.00%,27,1678,1.61%
E02000460,22,2063,1.07%,5,489,1.02%
E02000461,30,2426,1.24%,35,2257,1.55%
E02000462,22,2179,1.01%,5,758,0.66%
E02000463,24,2708,0.89%,5,405,1.23%
E02000464,16,1724,0.93%,2,453,0.44%
E02000465,20,2269,0.88%,5,673,0.74%
E02000466,21,2438,0.86%,6,691,0.87%
E02000467,31,2592,1.20%,21,1117,1.88%
E02000468,26,2482,1.05%,9,806,1.12%
E02000469,24,1820,1.32%,6,775,0.77%
E02000470,23,2547,0.90%,61,3556,1.72%
E02000471,31,2315,1.34%,6,336,1.79%
E02000472,28,3031,0.92%,22,837,2.63%
E02000473,26,3292,0.79%,16,1329,1.20%
E02000474,51,2772,1.84%,20,896,2.23%
E02000475,38,3241,1.17%,12,989,1.21%
E02000476,33,3015,1.09%,139,10706,1.30%
E02000477,39,3391,1.15%,7,538,1.30%
E02000478,12,1833,0.65%,0,362,0.00%
E02000479,33,3039,1.09%,52,3070,1.69%
E02000480,68,3516,1.93%,137,6239,2.20%
E02000481,22,2354,0.93%,7,554,1.26%
E02000482,20,1989,1.01%,10,688,1.45%
E02000483,23,2558,0.90%,34,2664,1.28%
E02000484,43,3038,1.42%,11,754,1.46%
E02000485,20,2737,0.73%,30,1751,1.71%
E02000486,36,2651,1.36%,4,814,0.49%
E02000487,25,2441,1.02%,14,692,2.02%
E02000488,28,2700,1.04%,7,1021,0.69%
E02000489,29,2650,1.09%,8,488,1.64%
E02000490,25,2447,1.02%,8,503,1.59%
E02000491,45,2573,1.75%,48,1785,2.69%
E02000492,17,1895,0.90%,33,1614,2.04%
E02000493,26,1939,1.34%,8,835,0.96%
E02000494,14,2165,0.65%,13,1263,1.03%
E02000495,39,2980,1.31%,20,1840,1.09%
E02000496,43,2023,2.13%,31,2061,1.50%
E02000497,41,2858,1.43%,11,975,1.13%
E02000498,28,1986,1.41%,15,672,2.23%
E02000499,40,2611,1.53%,18,1058,1.70%
E02000500,49,2665,1.84%,52,2333,2.23%
E02000501,40,2970,1.35%,15,889,1.69%
E02000502,69,2901,2.38%,26,885,2.94%
E02000503,99,3675,2.69%,8,457,1.75%
E02000504,54,2410,2.24%,19,901,2.11%
E02000506,41,2413,1.70%,22,1172,1.88%
E02000507,50,2764,1.81%,18,881,2.04%
E02000508,55,2704,2.03%,209,9190,2.27%
E02000509,62,2874,2.16%,139,7207,1.93%
E02000510,44,2908,1.51%,80,3621,2.21%
E02000511,58,3246,1.79%,23,1498,1.54%
E02000512,52,2480,2.10%,12,548,2.19%
E02000513,49,2754,1.78%,20,924,2.16%
E02000514,40,3265,1.23%,6,853,0.70%
E02000515,118,3502,3.37%,44,2154,2.04%
